Date,Open,High,Low,Close,Adj Close,Volume
2018-12-16,0.029075,0.031090,0.027696,0.030171,0.030171,1474
2018-12-17,0.030210,0.034377,0.029615,0.031968,0.031968,5383
2018-12-18,0.031954,0.034938,0.030245,0.034846,0.034846,1147
2018-12-19,0.035859,0.037699,0.034373,0.035015,0.035015,891
2018-12-20,0.034953,0.039888,0.033437,0.039822,0.039822,630
2018-12-21,0.039758,0.039758,0.033717,0.034039,0.034039,4614
2018-12-22,0.033998,0.039221,0.033487,0.039221,0.039221,3092
2018-12-23,0.039246,0.047677,0.037572,0.047178,0.047178,5045
2018-12-24,0.047173,0.053633,0.040744,0.046347,0.046347,4379
2018-12-25,0.046644,0.046644,0.039451,0.039898,0.039898,1350
2018-12-26,0.039919,0.044642,0.035520,0.039535,0.039535,4919
2018-12-27,0.039621,0.043229,0.037260,0.038481,0.038481,3772
2018-12-28,0.038552,0.041789,0.035259,0.041789,0.041789,2070
2018-12-29,0.041979,0.042586,0.035973,0.040084,0.040084,7165
2018-12-30,0.039916,0.040970,0.036627,0.040292,0.040292,741
2018-12-31,0.040357,0.040379,0.032426,0.032616,0.032616,13699
2019-01-01,0.032618,0.036890,0.032377,0.036742,0.036742,9983
2019-01-02,0.036929,0.044331,0.036878,0.038686,0.038686,7221
2019-01-03,0.038077,0.042151,0.035926,0.041840,0.041840,4849
2019-01-04,0.041847,0.045507,0.038765,0.040509,0.040509,3658
2019-01-05,0.040423,0.047197,0.040423,0.041167,0.041167,4869
2019-01-06,0.041108,0.045349,0.037334,0.045146,0.045146,3103
2019-01-07,0.045188,0.045375,0.039444,0.039488,0.039488,2106
2019-01-08,0.039475,0.043116,0.037112,0.037160,0.037160,2824
2019-01-09,0.037176,0.038946,0.032100,0.038833,0.038833,6181
2019-01-10,0.038833,0.039080,0.031198,0.034715,0.034715,20
2019-01-11,0.034632,0.034837,0.027718,0.034266,0.034266,6301
2019-01-12,0.034288,0.034288,0.030449,0.030571,0.030571,591
2019-01-13,0.030538,0.033971,0.028532,0.028848,0.028848,1983
2019-01-14,0.028873,0.035457,0.028873,0.035357,0.035357,7822
2019-01-15,0.035361,0.035710,0.031697,0.032942,0.032942,2838
2019-01-16,0.032906,0.034312,0.030867,0.033490,0.033490,212
2019-01-17,0.033459,0.033531,0.030567,0.031128,0.031128,295
2019-01-18,0.031108,0.035041,0.030601,0.034984,0.034984,5532
2019-01-19,0.035144,0.036689,0.033163,0.034233,0.034233,2225
2019-01-20,0.034210,0.036829,0.031703,0.034206,0.034206,662
2019-01-21,0.034194,0.034613,0.030960,0.034570,0.034570,6170
2019-01-22,0.034528,0.040417,0.034429,0.038471,0.038471,6916
2019-01-23,0.038471,0.039269,0.032663,0.033118,0.033118,7701
2019-01-24,0.033145,0.035086,0.031459,0.031724,0.031724,1587
2019-01-25,0.031767,0.036270,0.031731,0.035819,0.035819,333
2019-01-26,0.035818,0.038316,0.031841,0.038070,0.038070,475
2019-01-27,0.038074,0.038085,0.031611,0.034031,0.034031,4757
2019-01-28,0.034001,0.034128,0.028525,0.029157,0.029157,137
2019-01-29,0.029188,0.032732,0.023889,0.031670,0.031670,3581
2019-01-30,0.031620,0.032901,0.030707,0.031431,0.031431,4525
2019-01-31,0.031435,0.034963,0.030638,0.030643,0.030643,2600
2019-02-01,0.030660,0.033925,0.028739,0.031607,0.031607,3579
2019-02-02,0.031566,0.035401,0.031566,0.035368,0.035368,2465
2019-02-03,0.035353,0.036906,0.032163,0.034898,0.034898,5989
2019-02-04,0.034925,0.037951,0.034802,0.035063,0.035063,6598
2019-02-05,0.035036,0.038594,0.032277,0.036671,0.036671,13250
2019-02-06,0.036708,0.036708,0.033568,0.033580,0.033580,1186
2019-02-07,0.033557,0.035962,0.031990,0.033346,0.033346,6054
2019-02-08,0.033397,0.041365,0.033318,0.040339,0.040339,4122
2019-02-09,0.040322,0.040596,0.036072,0.036437,0.036437,1853
2019-02-10,0.036421,0.039586,0.035540,0.037850,0.037850,3203
2019-02-11,0.037923,0.040016,0.031134,0.031202,0.031202,7823
2019-02-12,0.031151,0.039527,0.030758,0.035625,0.035625,2991
2019-02-13,0.035619,0.039347,0.035161,0.039205,0.039205,5055
2019-02-14,0.039176,0.039816,0.036503,0.038701,0.038701,6219
2019-02-15,0.038684,0.038695,0.035443,0.035535,0.035535,5267
2019-02-16,0.035618,0.040081,0.035593,0.037626,0.037626,7117
2019-02-17,0.037610,0.042928,0.037584,0.042140,0.042140,2951
2019-02-18,0.041927,0.044109,0.039083,0.043831,0.043831,10953
2019-02-19,0.043859,0.046024,0.042510,0.045273,0.045273,8514
2019-02-20,0.045430,0.047713,0.042477,0.047713,0.047713,4767
2019-02-21,0.047611,0.047611,0.043888,0.046348,0.046348,2890
2019-02-22,0.046368,0.047038,0.043547,0.045045,0.045045,4797
2019-02-23,0.045014,0.047661,0.042452,0.047661,0.047661,6150
2019-02-24,0.047665,0.050281,0.040948,0.041374,0.041374,7350
2019-02-25,0.041258,0.044154,0.037614,0.039952,0.039952,7275
2019-02-26,0.039939,0.043323,0.037102,0.040475,0.040475,7194
2019-02-27,0.040469,0.042802,0.036941,0.039503,0.039503,4792
2019-02-28,0.039486,0.041361,0.037835,0.037998,0.037998,3664
2019-03-01,0.037997,0.038976,0.037386,0.037386,0.037386,2618
2019-03-02,0.037348,0.038786,0.036243,0.038362,0.038362,3701
